u,v,length
848529986,848530028,175.925544187348
847791446,847791414,8.983633542840735
847791446,847801157,80.98140116044053
308896310,848529986,579.6888969286451
308896310,9861799789,33.51293174362594
9861799789,9861799792,6.601493880919688
9861799789,9843336461,175.4545989422873
308896315,841773842,98.03226306048609
308896315,848554048,123.32506866144871
308896315,9843336464,6.972416121853042
841773842,308896315,98.03226306048609
841773842,841773831,82.0508629692289
841773842,841773706,146.56022507618042
848554048,848530059,84.21898887261284
848554048,848554034,319.4133013989747
9843336464,841773724,144.70814742214208
9843336464,308896315,6.972416121853042
308896367,841774116,109.61710907587204
308896367,12285200219,63.3866416358118
841774116,308896367,109.61710907587204
841774116,841774073,74.52386501664695
841774116,841773731,277.70352175528586
12285200219,10223510643,18.093645540197052
12285200219,12285200222,19.90391644211419
308896476,498727754,635.2516437185104
308896476,833238929,172.21477208860506
308896476,1827509741,116.1632343208774
498727754,833291028,12.241193848529647
498727754,308896476,635.2516437185104
498727754,1827509805,115.51131029873572
833238929,11027490198,16.483648653552642
833238929,833238848,80.32807078666573
833238929,308896476,172.21477208860506
1827509741,544165333,76.46871840442637
1827509741,11027355581,16.431753924506847
1827509741,308896476,116.1632343208774
1827509741,1827509731,69.74465927032999
308896531,832671998,6.41491314964151
308896531,832689019,363.22176948157374
832671998,833291188,9.68923044311007
832671998,833291078,153.99606464332098
832689019,832689033,84.09734825774532
832689019,832689033,483.1286875724014
832689019,832689026,6.592018992622759
308896638,833271074,11.989857356473106
308896638,6646317613,21.620140960862496
833271074,6646317627,10.993864370201553
833271074,6646317625,26.101290244842474
6646317613,544165097,430.60222845567114
308897843,308897855,629.8125660518973
308897843,11093510942,336.105453581786
11093510942,10240222788,121.13790034328676
308897943,441879029,123.37938412030644
441879029,802969107,168.66621718857655
441879029,277419852,385.89541618037003
308897978,851689933,225.36159982406141
851689933,850010106,92.9736066783044
851689933,851691296,1286.3566075131032
308898110,11093510956,73.28081464446052
308898110,308897978,447.7279826354809
11093510956,308897943,63.66734442046746
11093510956,11093510942,161.89573442852955
308898943,9843602713,12.81693353734022
308898943,1987490160,330.1608980157914
308898943,544165308,97.91250285632876
9843602713,308898943,12.81693353734022
9843602713,544165354,193.3594950134502
1987490160,3730725297,151.49804865619208
544165308,3730725289,34.18781079423872
544165308,1987490162,68.9516302583018
544165308,308898943,97.91250285632876
308899092,544165172,22.560813511623497
308899092,308899179,83.81126733530526
308899092,10047814941,92.42604637759392
544165172,308899094,52.927488222295246
544165172,1987490162,103.74824455393332
544165172,308899092,22.560813511623497
308899179,308899092,83.81126733530526
308899179,836074253,138.69039626192986
308899179,836074200,96.461548455422
10047814941,544165354,12.023288168459882
10047814941,308899092,92.42604637759392
10047814941,308898943,193.60977395577692
308899094,308900197,11.611950103466956
308899094,836074253,5.322153648540985
308899094,544165172,52.927488222295246
308900197,308899190,91.4692163771225
308900197,308899094,11.611950103466956
308900197,836074258,35.78250384809853
836074253,308899094,5.322153648540985
836074253,836074192,126.4211818964051
836074253,308899179,138.69039626192986
308899095,544165174,62.630470508312
308899095,3730725289,52.94559079063304
308899095,6442183404,64.69640991437737
544165174,308899095,62.630470508312
544165174,308899190,39.80115714159214
544165174,308900200,9.813273901022988
3730725289,308899095,52.94559079063304
3730725289,544165308,34.18781079423872
3730725289,3730725295,44.42751254254676
6442183404,308899095,64.69640991437737
6442183404,568266372,54.999655656962474
6442183404,6438592474,14.862793162307488
836074200,836074204,11.545623011684759
836074200,308899179,96.46154845542199
836074200,836083321,178.53239067201352
308899190,544165174,39.80115714159214
308899190,308900197,91.4692163771225
308899190,1987490162,56.69864508504323
1987490162,308899190,56.69864508504323
1987490162,544165308,68.9516302583018
1987490162,544165172,103.74824455393332
308900196,836074258,63.02996958163186
308900196,836074199,28.540725195962413
308900196,308900200,89.39979767576071
836074258,836074218,29.001791757234614
836074258,308900197,35.78250384809853
836074258,308900196,63.02996958163186
836074199,836074197,106.40378324955441
836074199,308900196,28.540725195962413
836074199,836074218,62.9724807684648
308900200,544165174,9.813273901022988
308900200,308900196,89.39979767576071
308900200,568266372,92.99778544616
568266372,6640044389,9.370416564164339
568266372,6442183404,54.999655656962474
568266372,308900200,92.99778544616
312102938,836339744,15.264316234744875
836339744,6648993282,417.00504983246384
315999106,10240222788,463.2358916102986
315999106,315999134,373.2950570935674
10240222788,12273055521,951.0812034033193
315999134,308897943,397.802387043938
315999134,308897978,349.38965170130086
316066258,851866926,10.8900710872903
851866926,301037158,9.713615307234846
851866926,3735942714,91.25108885126566
316066276,851867128,43.012052049348874
316066276,4772203025,99.47963077608298
851867128,851867367,7.659949052023277
4772203025,3735942722,145.23723817845885
4772203025,316066276,99.47963077608298
4772203025,3735942719,65.56428612237474
316070966,851866978,21.98218253871542
316070966,9662269127,147.77237261077764
851866978,851866715,143.0304919244411
851866978,851866689,7.7560628873339965
9662269127,851866715,18.449740401200927
9662269127,852047699,75.14586020676047
9662269127,9662269129,209.01549298509832
9662269127,316070966,147.77237261077767
316070982,316070983,12.450905682938872
316070982,847577502,68.53874972033006
316070982,847577475,169.08235517010095
316070983,316070982,12.450905682938872
316070983,847745283,154.69235677585263
847577502,841774103,30.567029758408673
847577502,847577606,43.419771270405334
847577475,316070982,169.08235517010095
847577475,847577586,25.281817519017135
847577475,847577954,78.78496809645218
847745283,6192080673,70.83168996831058
847745283,847745739,84.62596630905094
802969107,802969372,709.6314718828241
476991969,836083293,26.9978145884849
476991969,476992013,58.815088439726544
476991969,836083246,27.134885256303477
476991969,1827522810,32.97651882944787
836083293,1827522817,27.576933407618057
836083293,476991969,26.9978145884849
836083293,1827522826,85.81724733353202
836083293,1827522801,108.2168449074357
476992013,476991969,58.815088439726544
476992013,9841200170,13.0289395183671
476992013,11001027763,35.18239443532901
836083246,836083131,34.85724912508688
836083246,476991969,27.134885256303477
836083246,836083186,105.57691447007909
1827522810,476991969,32.97651882944787
1827522810,1827522804,27.38410516976597
1827522810,1827522801,50.25854187778137
476991988,9843573793,72.14226338776429
476991988,9843573793,213.44465478021849
476991988,1832086796,114.15178609822306
9843573793,1818312424,117.56449837147318
9843573793,476991988,72.14226338776429
9843573793,476991988,213.44465478021846
1832086796,1832086797,31.4030208168975
1832086796,1832086799,70.58645055756277
1832086796,476991988,114.15178609822304
9841200170,476992013,13.0289395183671
11001027763,1827522804,25.452858090110862
11001027763,476992013,35.18239443532901
11001027763,1827522792,59.708796724834
476992021,836083135,24.523696762711637
476992021,1827522792,43.40595240009664
476992021,1827522791,64.29735142553236
836083135,476992021,24.523696762711637
836083135,1827522801,24.649681450919626
836083135,1827522791,43.935043147038826
1827522792,1827522795,15.416899082962246
1827522792,476992021,43.40595240009664
1827522792,11001027763,59.708796724834
1827522791,1827522799,54.7802728916849
1827522791,2409792093,59.22336493602165
1827522791,476992021,64.29735142553237
1827522791,836083135,43.935043147038826
476992039,9841200167,89.5568508460053
476992039,1827522827,31.359973189243398
476992039,1827522828,54.120808356685245
9841200167,1832086805,64.7520226893463
9841200167,476992039,89.5568508460053
9841200167,9841200166,29.630848026221724
1827522827,1827522826,28.668603554999358
1827522827,1827522817,86.02901900756555
1827522827,476992039,31.359973189243398
